Product,Category,Department,product_key,pageviews,unique_ips
Top Flite Women's 2017 XL Hybrid,golf apparel,outdoors ,top flite women's 2017 xl hybrid,3699,1299
LIJA Women's Button Golf Dress,golf shoes,outdoors ,lija women's button golf dress,2646,1047
Glove It Imperial Golf Towel,trade-in,outdoors ,glove it imperial golf towel,2639,1063
LIJA Women's Mid-Length Panel Golf Shorts,golf shoes,outdoors ,lija women's mid-length panel golf shorts,2604,1010
LIJA Women's Eyelet Sleeveless Golf Polo,golf shoes,outdoors ,lija women's eyelet sleeveless golf polo,2482,978
Glove It Urban Brick Golf Towel,trade-in,outdoors ,glove it urban brick golf towel,2345,951
Garmin Approach S3 Golf GPS Watch,trade-in,outdoors ,garmin approach s3 golf gps watch,2224,954
Merrell Women's Grassbow Sport Hiking Shoe,men's golf clubs,outdoors ,merrell women's grassbow sport hiking shoe,2156,934
Merrell Women's Siren Mid Waterproof Hiking B,men's golf clubs,outdoors ,merrell women's siren mid waterproof hiking b,2102,878
Hirzl Women's Soffft Flex Golf Glove,golf balls,outdoors ,hirzl women's soffft flex golf glove,1914,795
Glove It Women's Imperial Golf Glove,golf balls,outdoors ,glove it women's imperial golf glove,1777,757
Titleist Club Glove Travel Cover,golf gloves,outdoors ,titleist club glove travel cover,1732,752
Merrell Men's All Out Flash Trail Running Sho,men's golf clubs,outdoors ,merrell men's all out flash trail running sho,1706,753
Team Golf New England Patriots Putter Grip,accessories,outdoors ,team golf new england patriots putter grip,1691,747
Hirzl Men's Hybrid Golf Glove,golf balls,outdoors ,hirzl men's hybrid golf glove,1689,763
Glove It Women's Mod Oval Golf Glove,golf balls,outdoors ,glove it women's mod oval golf glove,1683,759
Team Golf Tennessee Volunteers Putter Grip,accessories,outdoors ,team golf tennessee volunteers putter grip,1583,718
Clicgear 8.0 Shoe Brush,golf gloves,outdoors ,clicgear 8.0 shoe brush,1482,656
Polar FT4 Heart Rate Monitor,kids' golf clubs,outdoors ,polar ft4 heart rate monitor,1456,652
Team Golf Texas Longhorns Putter Grip,accessories,outdoors ,team golf texas longhorns putter grip,1431,656
Team Golf St. Louis Cardinals Putter Grip,accessories,outdoors ,team golf st. louis cardinals putter grip,1382,633
Bridgestone e6 Straight Distance NFL San Dieg,electronics,outdoors ,bridgestone e6 straight distance nfl san dieg,1355,611
Titleist Pro V1x Golf Balls,electronics,outdoors ,titleist pro v1x golf balls,1259,580
Bridgestone e6 Straight Distance NFL Tennesse,electronics,outdoors ,bridgestone e6 straight distance nfl tennesse,1256,579
Team Golf Pittsburgh Steelers Putter Grip,accessories,outdoors ,team golf pittsburgh steelers putter grip,1192,577
Titleist Pro V1x High Numbers Golf Balls,electronics,outdoors ,titleist pro v1x high numbers golf balls,1191,574
Clicgear Rovic Cooler Bag,golf gloves,outdoors ,clicgear rovic cooler bag,1190,537
Garmin Approach S4 Golf GPS Watch,kids' golf clubs,outdoors ,garmin approach s4 golf gps watch,1190,562
Bridgestone e6 Straight Distance NFL Carolina,electronics,outdoors ,bridgestone e6 straight distance nfl carolina,1180,550
Titleist Pro V1x High Numbers Personalized Go,electronics,outdoors ,titleist pro v1x high numbers personalized go,1048,499
Bag Boy Beverage Holder,golf gloves,outdoors ,bag boy beverage holder,1048,504
Mio ALPHA Heart Rate Monitor/Sport Watch,kids' golf clubs,outdoors ,mio alpha heart rate monitor/sport watch,1045,521
TaylorMade 2017 Purelite Stand Bag,golf gloves,outdoors ,taylormade 2017 purelite stand bag,1043,509
Bag Boy M330 Push Cart,golf gloves,outdoors ,bag boy m330 push cart,1015,487
Polar Loop Activity Tracker,kids' golf clubs,outdoors ,polar loop activity tracker,930,469
Bushnell Pro X7 Jolt Slope Rangefinder,kids' golf clubs,outdoors ,bushnell pro x7 jolt slope rangefinder,929,429
Garmin Forerunner 910XT GPS Watch,kids' golf clubs,outdoors ,garmin forerunner 910xt gps watch,877,430
Fitbit The One Wireless Activity & Sleep Trac,kids' golf clubs,outdoors ,fitbit the one wireless activity & sleep trac,807,413
