Product,Category,Department,product_key,pageviews,unique_ips,Product Name,Category Name,sales,profit,orders,quantity,late_rate,profit_margin,sales_share,sales_per_1k_views
Under Armour Girls' Toddler Spine Surge Runni,shop by sport,golf ,under armour girls' toddler spine surge runni,12511,2273,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,1269082.67110818,126278.510298901,9825,31735,0.552415936705284,0.09950377006458762,0.034500253179656507,101437.34882169131
Nike Men's Fingertrap Max Training Shoe,soccer,fitness ,nike men's fingertrap max training shoe,12271,2265,Nike Men's Fingertrap Max Training Shoe,Soccer,7999.3598656,602.3799734620001,63,64,0.59375,0.07530352222962755,0.00021746411555473663,651.8914404368022
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,golf ,adidas youth germany black/red away match soc,8626,1985,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,67830.0,8129.399983306,313,969,0.5159235668789809,0.11984962381403508,0.0018439714184519192,7863.436123348019
The North Face Women's Recon Backpack,hunting & shooting,fan shop ,the north face women's recon backpack,8356,1950,The North Face Women's Recon Backpack,Hunting & Shooting,17919.0,2803.799964267,57,181,0.5087719298245614,0.15647078320592667,0.00048713141452513543,2144.447103877453
adidas Men's Germany Black Crest Away Tee,girls' apparel,golf ,adidas men's germany black crest away tee,8099,1944,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,21475.0,2833.720000746,289,859,0.6089965397923875,0.13195436557606519,0.0005838019491560513,2651.5619212248425
TYR Boys' Team Digi Jammer,girls' apparel,golf ,tyr boys' team digi jammer,7856,1929,TYR Boys' Team Digi Jammer,Girls' Apparel,35191.2006334,3658.979987517,298,880,0.5233333333333333,0.10397428680066853,0.0009566794655609123,4479.5316488543795
Stiga Master Series ST3100 Competition Indoor,hockey,fitness ,stiga master series st3100 competition indoor,7497,1876,Stiga Master Series ST3100 Competition Indoor,Hockey,8909.7297354,479.28001602999996,25,27,0.5185185185185185,0.053792879275084186,0.00024221269317718975,1188.4393404561824
Ogio Race Golf Shoes,golf bags & carts,outdoors ,ogio race golf shoes,7438,1846,Ogio Race Golf Shoes,Golf Bags & Carts,10369.3903355,1810.069992479,61,61,0.6885245901639344,0.17455895996914658,0.0002818938435122152,1394.1100209061576
insta-bed Neverflat Air Mattress,hunting & shooting,fan shop ,insta-bed neverflat air mattress,7289,1863,insta-bed Neverflat Air Mattress,Hunting & Shooting,8999.40033,1036.619995346,59,60,0.5,0.11518767443763667,0.00024465040530335794,1234.6550048017561
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,strength training,footwear ,yakima doubledown ace hitch mount 4-bike rack,6770,1817,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,12096.0,1051.80000757,64,64,0.578125,0.0869543657051918,0.0003288320548075249,1786.7060561299854
Diamondback Boys' Insight 24 Performance Hybr,basketball,fitness ,diamondback boys' insight 24 performance hybr,6668,1769,Diamondback Boys' Insight 24 Performance Hybr,Basketball,8699.709715800002,1730.8099975,28,29,0.6206896551724138,0.1989503160498085,0.0002365032591001573,1304.6955182663469
Nike Women's Free 5.0 TR FIT PRT 4 Training S,boxing & mma,footwear ,nike women's free 5.0 tr fit prt 4 training s,6327,1779,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,19567.940017240002,1564.749997683,70,206,0.6,0.07996498335054193,0.0005319581617244894,3092.767507071282
Nike Dri-FIT Crew Sock 6 Pack,hockey,fitness ,nike dri-fit crew sock 6 pack,6160,1695,Nike Dri-FIT Crew Sock 6 Pack,Hockey,19426.0,2145.490002249,307,883,0.5032467532467533,0.11044425009003397,0.0005280994954274949,3153.5714285714284
adidas Kids' F5 Messi FG Soccer Cleat,baseball & softball,fitness ,adidas kids' f5 messi fg soccer cleat,6126,1704,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,27327.19054016,2906.330036917,262,781,0.5916030534351145,0.10635304908661801,0.0007428948592458308,4460.85382634019
Under Armour Women's Micro G Skulpt Running S,boxing & mma,footwear ,under armour women's micro g skulpt running s,5933,1664,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,46559.591034339996,4469.770004019,286,847,0.5714285714285714,0.09600105810040996,0.0012657313153786403,7847.562958762851
SOLE E35 Elliptical,strength training,footwear ,sole e35 elliptical,5709,1707,SOLE E35 Elliptical,Strength Training,29999.84985,-965.11996816,15,15,0.4,-0.03217082662032057,0.000815551609630681,5254.834445612191
SOLE E25 Elliptical,basketball,fitness ,sole e25 elliptical,5645,1657,SOLE E25 Elliptical,Basketball,9999.899902,-169.55999710000015,10,10,0.7,-0.016956169437864856,0.0002718491759791854,1771.4614529672276
Under Armour Kids' Mercenary Slide,electronics,footwear ,under armour kids' mercenary slide,4998,1536,Under Armour Kids' Mercenary Slide,Electronics,22252.04978358,2431.970026988,251,795,0.5378486055776892,0.10929195515204058,0.0006049261949416296,4452.19083304922
Under Armour Men's Compression EV SL Slide,electronics,footwear ,under armour men's compression ev sl slide,4457,1448,Under Armour Men's Compression EV SL Slide,Electronics,36576.87057466,3745.3400192560002,279,813,0.5285714285714286,0.10239640407757368,0.0009943491657981433,8206.61219983397
Under Armour Women's Ignite Slide,electronics,footwear ,under armour women's ignite slide,4101,1375,Under Armour Women's Ignite Slide,Electronics,29398.80977828,4030.3799946999998,306,919,0.5562700964630225,0.13709330497038238,0.000799212221253916,7168.692947642038
Cleveland Golf Collegiate My Custom Wedge 588,women's golf clubs,outdoors ,cleveland golf collegiate my custom wedge 588,3932,1328,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,13649.3503575,955.099941796,65,65,0.5538461538461539,0.06997402197029802,0.0003710601789719369,3471.35054870295
MDGolf Pittsburgh Penguins Putter,women's golf clubs,outdoors ,mdgolf pittsburgh penguins putter,3850,1350,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,11598.549881160001,1533.140024694,53,145,0.5094339622641509,0.1321837678332825,0.0003153087789524981,3012.6103587428574
Cleveland Golf Women's 588 RTX CB Satin Chrom,golf apparel,outdoors ,cleveland golf women's 588 rtx cb satin chrom,3728,1282,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,8399.299853,370.610005914,70,70,0.5,0.04412391656450129,0.00022833655998731248,2253.031076448498
LIJA Women's Button Golf Dress,golf shoes,outdoors ,lija women's button golf dress,2646,1047,LIJA Women's Button Golf Dress,Golf Shoes,8208.0,1156.600008518,76,76,0.5526315789473685,0.14091130708065303,0.00022313603719082046,3102.0408163265306
Glove It Imperial Golf Towel,trade-in,outdoors ,glove it imperial golf towel,2639,1063,Glove It Imperial Golf Towel,Trade-In,14870.69978864,1662.019999463,302,930,0.5463576158940397,0.11176474699143933,0.00040426279496728814,5634.975289367185
LIJA Women's Mid-Length Panel Golf Shorts,golf shoes,outdoors ,lija women's mid-length panel golf shorts,2604,1010,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,22700.0,2984.71003021,73,227,0.5616438356164384,0.13148502335726872,0.0006171038065584338,8717.357910906298
LIJA Women's Eyelet Sleeveless Golf Polo,golf shoes,outdoors ,lija women's eyelet sleeveless golf polo,2482,978,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,61490.0,6752.330081825,309,946,0.5663430420711975,0.1098118406541714,0.0016716173156510173,24774.375503626106
Glove It Urban Brick Golf Towel,trade-in,outdoors ,glove it urban brick golf towel,2345,951,Glove It Urban Brick Golf Towel,Trade-In,14151.14979326,1563.199996233,298,885,0.5466666666666666,0.11046452189895771,0.00038470169183257,6034.605455547974
Garmin Approach S3 Golf GPS Watch,trade-in,outdoors ,garmin approach s3 golf gps watch,2224,954,Garmin Approach S3 Golf GPS Watch,Trade-In,19249.2304235,2432.329985971,75,77,0.6103896103896104,0.12635985608035236,0.0005232939809542847,8655.229506969425
Merrell Women's Grassbow Sport Hiking Shoe,men's golf clubs,outdoors ,merrell women's grassbow sport hiking shoe,2156,934,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,20697.92999222,1818.6499727140001,70,207,0.5142857142857142,0.08786627326489169,0.0005626771535717593,9600.153057615955
Merrell Women's Siren Mid Waterproof Hiking B,men's golf clubs,outdoors ,merrell women's siren mid waterproof hiking b,2102,878,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,9449.300385,1237.850002093,69,70,0.4714285714285714,0.1309991165121586,0.0002568810236518755,4495.385530447194
Hirzl Women's Soffft Flex Golf Glove,golf balls,outdoors ,hirzl women's soffft flex golf glove,1914,795,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,15993.10980566,1444.250001406,295,889,0.6140939597315436,0.0903045135658905,0.0004347757242193744,8355.85674276907
Glove It Women's Imperial Golf Glove,golf balls,outdoors ,glove it women's imperial golf glove,1777,757,Glove It Women's Imperial Golf Glove,Golf Balls,18810.58979375,2122.95000702,303,941,0.5244299674267101,0.11285930054810778,0.0005113694522172841,10585.587953714126
Titleist Club Glove Travel Cover,golf gloves,outdoors ,titleist club glove travel cover,1732,752,Titleist Club Glove Travel Cover,Golf Gloves,10199.6596668,1312.269990485,34,34,0.6176470588235294,0.12865821344573417,0.00027727968308294303,5888.948999307159
Merrell Men's All Out Flash Trail Running Sho,men's golf clubs,outdoors ,merrell men's all out flash trail running sho,1706,753,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,9349.149821500001,1431.78001159,85,85,0.4823529411764706,0.1531454772815141,0.0002541584115829406,5480.1581603165305
Team Golf New England Patriots Putter Grip,accessories,outdoors ,team golf new england patriots putter grip,1691,747,Team Golf New England Patriots Putter Grip,Accessories,20566.76981798,2548.580027902,281,823,0.5516014234875445,0.12391737012945833,0.000559111539351831,12162.489543453577
Hirzl Men's Hybrid Golf Glove,golf balls,outdoors ,hirzl men's hybrid golf glove,1689,763,Hirzl Men's Hybrid Golf Glove,Golf Balls,12951.35980753,1175.660006335,282,864,0.5390070921985816,0.090775024692887,0.0003520851734508664,7668.0638292066305
Glove It Women's Mod Oval Golf Glove,golf balls,outdoors ,glove it women's mod oval golf glove,1683,759,Glove It Women's Mod Oval Golf Glove,Golf Balls,16031.97982176,2406.570003471,275,802,0.51985559566787,0.1501105933407297,0.0004358324129813258,9525.834712869875
Team Golf Tennessee Volunteers Putter Grip,accessories,outdoors ,team golf tennessee volunteers putter grip,1583,718,Team Golf Tennessee Volunteers Putter Grip,Accessories,22865.849746840002,2375.050012137,300,915,0.5566666666666666,0.10386887163313166,0.0006216124633906681,14444.630288591285
Clicgear 8.0 Shoe Brush,golf gloves,outdoors ,clicgear 8.0 shoe brush,1482,656,Clicgear 8.0 Shoe Brush,Golf Gloves,8871.119937156,815.54000439,284,888,0.5368421052631579,0.0919320232583232,0.0002411630784870212,5985.910888769231
Polar FT4 Heart Rate Monitor,kids' golf clubs,outdoors ,polar ft4 heart rate monitor,1456,652,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,17638.04005408,3476.849971695,60,196,0.5333333333333333,0.19712224039828855,0.0004794934650926384,12114.038498681319
Team Golf Texas Longhorns Putter Grip,accessories,outdoors ,team golf texas longhorns putter grip,1431,656,Team Golf Texas Longhorns Putter Grip,Accessories,22366.049832380002,3079.310017339,298,895,0.5652173913043478,0.13767786624891581,0.0006080253078959171,15629.664453095738
Team Golf St. Louis Cardinals Putter Grip,accessories,outdoors ,team golf st. louis cardinals putter grip,1382,633,Team Golf St. Louis Cardinals Putter Grip,Accessories,23940.41977515,2815.12000595,313,958,0.6293929712460063,0.11758858167023774,0.0006508248534736506,17323.024439327062
Bridgestone e6 Straight Distance NFL San Dieg,electronics,outdoors ,bridgestone e6 straight distance nfl san dieg,1355,611,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,28982.93982142,2019.829987259,309,906,0.5612903225806452,0.06969030746032995,0.0007879067175793963,21389.623484442804
Titleist Pro V1x Golf Balls,electronics,outdoors ,titleist pro v1x golf balls,1259,580,Titleist Pro V1x Golf Balls,Electronics,41415.37052844,3699.609974452,291,863,0.5189003436426117,0.08932939455199301,0.0011258847049836255,32895.449188594124
Bridgestone e6 Straight Distance NFL Tennesse,electronics,outdoors ,bridgestone e6 straight distance nfl tennesse,1256,579,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,25751.94975595,2361.749972533,256,805,0.5680933852140078,0.09171150126165947,0.0007000716396783381,20503.144710151275
Team Golf Pittsburgh Steelers Putter Grip,accessories,outdoors ,team golf pittsburgh steelers putter grip,1192,577,Team Golf Pittsburgh Steelers Putter Grip,Accessories,22166.12984186,3039.529991171,293,887,0.5559322033898305,0.1371249745831114,0.0006025904450255639,18595.74651162752
Titleist Pro V1x High Numbers Golf Balls,electronics,outdoors ,titleist pro v1x high numbers golf balls,1191,574,Titleist Pro V1x High Numbers Golf Balls,Electronics,38392.00052236,4592.280023798,264,800,0.5547169811320755,0.11961554389757305,0.0010436938177859796,32235.096996104116
Clicgear Rovic Cooler Bag,golf gloves,outdoors ,clicgear rovic cooler bag,1190,537,Clicgear Rovic Cooler Bag,Golf Gloves,34671.33045858,2962.95996846,284,867,0.5774647887323944,0.08545850214775262,0.0009425466962306205,29135.571813932773
Garmin Approach S4 Golf GPS Watch,kids' golf clubs,outdoors ,garmin approach s4 golf gps watch,1190,562,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,10799.639647200001,1208.9000123990002,34,36,0.5277777777777778,0.11193892128728841,0.00029359025267605736,9075.32743462185
Bridgestone e6 Straight Distance NFL Carolina,electronics,outdoors ,bridgestone e6 straight distance nfl carolina,1180,550,Bridgestone e6 Straight Distance NFL Carolina,Electronics,29686.71978552,3188.770000265,308,928,0.5844155844155844,0.10741402294706723,0.0008070391094219366,25158.237106372882
Titleist Pro V1x High Numbers Personalized Go,electronics,outdoors ,titleist pro v1x high numbers personalized go,1048,499,Titleist Pro V1x High Numbers Personalized Go,Electronics,47206.92146286,6671.089964594,305,908,0.5555555555555556,0.14131592906015855,0.0012833291158870456,45044.77238822519
Bag Boy Beverage Holder,golf gloves,outdoors ,bag boy beverage holder,1048,504,Bag Boy Beverage Holder,Golf Gloves,21116.549776390002,3173.780008029,278,845,0.5555555555555556,0.1502982277709752,0.0005740574118233883,20149.379557624048
Mio ALPHA Heart Rate Monitor/Sport Watch,kids' golf clubs,outdoors ,mio alpha heart rate monitor/sport watch,1045,521,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,13333.0,1241.66997336,67,67,0.6119402985074627,0.0931275761914048,0.0003624601344865021,12758.85167464115
Bag Boy M330 Push Cart,golf gloves,outdoors ,bag boy m330 push cart,1015,487,Bag Boy M330 Push Cart,Golf Gloves,16637.919929480002,2969.1100420919997,69,208,0.5507246376811594,0.17845440143218647,0.00045230500976636725,16392.039339389165
Polar Loop Activity Tracker,kids' golf clubs,outdoors ,polar loop activity tracker,930,469,Polar Loop Activity Tracker,Kids' Golf Clubs,5937.2998326,326.200001112,53,54,0.48148148148148145,0.05494079974215382,0.00016140662235137495,6384.193368387096
Bushnell Pro X7 Jolt Slope Rangefinder,kids' golf clubs,outdoors ,bushnell pro x7 jolt slope rangefinder,929,429,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,6599.8898922,-255.9500027199999,8,11,0.5454545454545454,-0.038780950425020166,0.00017941925882568948,7104.294824757803
Garmin Forerunner 910XT GPS Watch,kids' golf clubs,outdoors ,garmin forerunner 910xt gps watch,877,430,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,13999.649657,391.12998962999995,35,35,0.5428571428571428,0.02793855555052623,0.00038058313188630714,15963.11249372862
Fitbit The One Wireless Activity & Sleep Trac,kids' golf clubs,outdoors ,fitbit the one wireless activity & sleep trac,807,413,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,18690.64982615,2088.01993995,62,187,0.5161290322580645,0.11171467869611797,0.0005081088614435194,23160.65653798017
