order_month,order_month_label,sales,net_sales,profit,orders,order_lines,avg_order_value,late_rate,avg_discount_rate,profit_margin,yoy_sales_pct,mom_sales_pct
2016-09-01,2016-09,1002397.039938014,900371.629961594,123384.709977059,1730,5160,579.4202542994301,0.5498062015503876,0.10192248111027133,0.12308965914812442,-0.01565447881177995,-0.04369700458184056
2016-10-01,2016-10,1048130.550406502,941882.280194664,116781.970048187,1776,5398,590.1635982018593,0.547795479807336,0.10151722910374213,0.11141929791369484,-0.0009757573844361156,0.04562414756463773
2016-11-01,2016-11,1047590.141074611,941197.3609678299,109539.199962309,1721,5210,608.7101342676416,0.5462571976967371,0.10183109456199617,0.10456303058555363,0.017947271588762526,-0.0005155935314369309
2016-12-01,2016-12,1037408.170125002,932112.890084133,105002.68993700799,1763,5269,588.4334487379479,0.5606376921617006,0.10210096843442779,0.10121637072161842,-0.019315485782629094,-0.009719422272497114
2017-01-01,2017-01,1029698.020147722,925472.619840525,114843.850276999,1745,5217,590.0848252995542,0.5361318765574085,0.10143377467471727,0.11153158307570926,-0.01587508303078855,-0.0074321276806129655
2017-02-01,2017-02,992534.898790352,891924.289692601,115111.070097214,1614,4906,614.9534688911723,0.5466775377089278,0.10153689409702404,0.11597684901307265,0.02477128377859783,-0.03609128174495124
2017-03-01,2017-03,1048004.781065341,942290.430651583,118688.90021145,1782,5347,588.105937747105,0.5526463437441556,0.10123433750944455,0.11325225071091541,0.02159340338089044,0.05588708502098272
2017-04-01,2017-04,1038321.620870051,932318.20057466,115961.06019266699,1739,5212,597.0797129787528,0.5377973906369916,0.10233499667651573,0.11168125353635476,0.03706513372518416,-0.00923961452298594
2017-05-01,2017-05,1105485.32189609,993199.05077958,115014.64001427,1763,5317,627.0478286421385,0.5347000188075983,0.10198608287417717,0.10403995216960538,0.07391209086544248,0.06468487188946304
2017-06-01,2017-06,1032086.4903108199,927445.97016683,110399.290304686,1676,4951,615.8033951735204,0.5350434255705918,0.101341143705918,0.10696709175162103,0.02893840181839069,-0.06639512088625377
2017-07-01,2017-07,1104373.36097925,992423.43050275,113026.700038081,1776,5318,621.8318473982265,0.5477623166603987,0.10190861275817976,0.10234464541761494,0.05609339570627947,0.07003954740911333
2017-08-01,2017-08,1109337.17125681,996507.88074761,131501.160211149,1768,5305,627.453151163354,0.564373232799246,0.10199623047408106,0.1185402992150406,0.05832561104449829,0.0044946849072478035
2017-09-01,2017-09,1143775.10762319,1027111.72871293,122462.390152852,1723,5189,663.8276886959897,0.5423010213914049,0.10141645838253999,0.10706859183824494,0.1410399891982108,0.031043705429399715
2017-10-01,2017-10,1073994.1690205599,966081.409769428,113447.169882532,2101,2255,511.1823745933175,0.5365853658536586,0.1006208430745011,0.10563108548903141,0.02467595148717594,-0.06100931742397997
2017-11-01,2017-11,626914.38366701,563393.47010096,67791.250204682,2055,2055,305.0678266019513,0.5508515815085158,0.10149878395182482,0.10813478199072524,-0.4015652123034249,-0.41627766541904876
2017-12-01,2017-12,503910.81734302,452741.530874991,65837.629744941,2124,2124,237.24614752496234,0.551789077212806,0.1018596991826742,0.13065333681877342,-0.5142598334440518,-0.19620472831474256
2018-01-01,2018-01,331650.11515684,297952.050994565,33841.889977086,2123,2123,156.21767082281679,0.5628827131417805,0.10215261472209138,0.10204094143335937,-0.6779151667114394,-0.3418475973476065
