Product Name,Category Name,sales,profit,orders,quantity,late_rate,profit_margin,sales_share,product_key
Porcelain crafts,Crafts,223356.325324,25531.17006045,484,484,0.5599173553719008,0.11430690410676556,0.006071984078253053,porcelain crafts
Summer dresses,Women's Clothing,140283.00474499998,19102.849930084,650,650,0.5646153846153846,0.13617365813348728,0.0038136200979556967,summer dresses
Smart watch ,Sporting Goods,117006.75,12518.610118848,357,357,0.5546218487394958,0.10699049515389497,0.0031808506968295605,smart watch
Rock music,Music,113122.09735260002,14436.31992285,434,434,0.5714285714285714,0.1276171522691291,0.0030752456776283344,rock music
Industrial consumer electronics,Consumer Electronics,108991.2821119,13223.399925575,431,431,0.5522041763341067,0.12132529932071723,0.0029629486816272078,industrial consumer electronics
First aid kit,Health and Beauty,106080.483077,9493.629974264,362,362,0.5580110497237569,0.08949459597928977,0.0028838180576376306,first aid kit
DVDs ,DVDs,79395.5423667,6655.430088233999,483,483,0.5362318840579711,0.08382624376435287,0.0021583828818617606,dvds
adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,67830.0,8129.399983306,313,969,0.5159235668789809,0.11984962381403508,0.0018439714184519192,adidas youth germany black/red away match soc
LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,61490.0,6752.330081825,309,946,0.5663430420711975,0.1098118406541714,0.0016716173156510173,lija women's eyelet sleeveless golf polo
adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,56330.61164488,8213.070031392,303,939,0.5180327868852459,0.14580118680707602,0.0015313583643973695,adidas men's f10 messi trx fg soccer cleat
Titleist Pro V1x High Numbers Personalized Go,Electronics,47206.92146286,6671.089964594,305,908,0.5555555555555556,0.14131592906015855,0.0012833291158870456,titleist pro v1x high numbers personalized go
Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,46559.591034339996,4469.770004019,286,847,0.5714285714285714,0.09600105810040996,0.0012657313153786403,under armour women's micro g skulpt running s
Nike Men's Comfort 2 Slide,Tennis & Racquet,44585.09062432,5747.979996385,327,991,0.5579268292682927,0.12892157256824385,0.0012120541471374719,nike men's comfort 2 slide
Titleist Pro V1 High Numbers Personalized Gol,Electronics,44243.491382600005,6093.149948176,291,851,0.5993150684931506,0.1377185605784335,0.0012027677069443932,titleist pro v1 high numbers personalized gol
Men's gala suit,Men's Clothing,43856.8012688,2006.039969416,208,208,0.5432692307692307,0.045740681294125965,0.0011922554628393492,men's gala suit
Adult dog supplies,Pet Supplies,41524.80075276,3589.259958614,492,492,0.5894308943089431,0.08643653656484879,0.0011288595863924542,adult dog supplies
Titleist Pro V1x Golf Balls,Electronics,41415.37052844,3699.609974452,291,863,0.5189003436426117,0.08932939455199301,0.0011258847049836255,titleist pro v1x golf balls
Titleist Pro V1x High Numbers Golf Balls,Electronics,38392.00052236,4592.280023798,264,800,0.5547169811320755,0.11961554389757305,0.0010436938177859796,titleist pro v1x high numbers golf balls
Under Armour Men's Compression EV SL Slide,Electronics,36576.87057466,3745.3400192560002,279,813,0.5285714285714286,0.10239640407757368,0.0009943491657981433,under armour men's compression ev sl slide
TYR Boys' Team Digi Jammer,Girls' Apparel,35191.2006334,3658.979987517,298,880,0.5233333333333333,0.10397428680066853,0.0009566794655609123,tyr boys' team digi jammer
Clicgear Rovic Cooler Bag,Golf Gloves,34671.33045858,2962.95996846,284,867,0.5774647887323944,0.08545850214775262,0.0009425466962306205,clicgear rovic cooler bag
Fighting video games,Video Games,33310.5,2717.519996736,838,838,0.5429594272076372,0.08158148321808438,0.0009055522620424982,fighting video games
SOLE E35 Elliptical,Strength Training,29999.84985,-965.11996816,15,15,0.4,-0.03217082662032057,0.000815551609630681,sole e35 elliptical
ENO Atlas Hammock Straps,Hunting & Shooting,29930.019742160002,2139.579985686,321,998,0.5820433436532507,0.07148608668213294,0.0008136532649011458,eno atlas hammock straps
Bridgestone e6 Straight Distance NFL Carolina,Electronics,29686.71978552,3188.770000265,308,928,0.5844155844155844,0.10741402294706723,0.0008070391094219366,bridgestone e6 straight distance nfl carolina
Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,29601.54064158,4067.610021172,297,846,0.568561872909699,0.13741210535030074,0.0008047234982340617,under armour hustle storm medium duffle bag
Under Armour Women's Ignite Slide,Electronics,29398.80977828,4030.3799946999998,306,919,0.5562700964630225,0.13709330497038238,0.000799212221253916,under armour women's ignite slide
Bridgestone e6 Straight Distance NFL San Dieg,Electronics,28982.93982142,2019.829987259,309,906,0.5612903225806452,0.06969030746032995,0.0007879067175793963,bridgestone e6 straight distance nfl san dieg
Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,27840.0,2454.800032293,304,928,0.5328947368421053,0.08817528851627156,0.0007568356816998589,columbia men's pfg anchor tough t-shirt
adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,27327.19054016,2906.330036917,262,781,0.5916030534351145,0.10635304908661801,0.0007428948592458308,adidas kids' f5 messi fg soccer cleat
Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,27210.0,2666.470001124,297,907,0.5671140939597316,0.09799595740992283,0.0007397090121786336,nike men's deutschland weltmeister winners bl
Nike Women's Tempo Shorts,Cardio Equipment,27210.0,3095.279981277,318,907,0.5534591194968553,0.11375523635711135,0.0007397090121786336,nike women's tempo shorts
Under Armour Women's Ignite PIP VI Slide,Electronics,27127.519792220002,2057.210005626,285,848,0.6,0.0758347988088463,0.0007374667720823002,under armour women's ignite pip vi slide
Bridgestone e6 Straight Distance NFL Tennesse,Electronics,25751.94975595,2361.749972533,256,805,0.5680933852140078,0.09171150126165947,0.0007000716396783381,bridgestone e6 straight distance nfl tennesse
Team Golf St. Louis Cardinals Putter Grip,Accessories,23940.41977515,2815.12000595,313,958,0.6293929712460063,0.11758858167023774,0.0006508248534736506,team golf st. louis cardinals putter grip
Team Golf Tennessee Volunteers Putter Grip,Accessories,22865.849746840002,2375.050012137,300,915,0.5566666666666666,0.10386887163313166,0.0006216124633906681,team golf tennessee volunteers putter grip
LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,22700.0,2984.71003021,73,227,0.5616438356164384,0.13148502335726872,0.0006171038065584338,lija women's mid-length panel golf shorts
Team Golf Texas Longhorns Putter Grip,Accessories,22366.049832380002,3079.310017339,298,895,0.5652173913043478,0.13767786624891581,0.0006080253078959171,team golf texas longhorns putter grip
Under Armour Kids' Mercenary Slide,Electronics,22252.04978358,2431.970026988,251,795,0.5378486055776892,0.10929195515204058,0.0006049261949416296,under armour kids' mercenary slide
Team Golf Pittsburgh Steelers Putter Grip,Accessories,22166.12984186,3039.529991171,293,887,0.5559322033898305,0.1371249745831114,0.0006025904450255639,team golf pittsburgh steelers putter grip
Team Golf San Francisco Giants Putter Grip,Accessories,21766.2898108,2785.93001945,292,871,0.5547945205479452,0.12799287538970822,0.0005917207179250543,team golf san francisco giants putter grip
adidas Men's Germany Black Crest Away Tee,Girls' Apparel,21475.0,2833.720000746,289,859,0.6089965397923875,0.13195436557606519,0.0005838019491560513,adidas men's germany black crest away tee
Bag Boy Beverage Holder,Golf Gloves,21116.549776390002,3173.780008029,278,845,0.5555555555555556,0.1502982277709752,0.0005740574118233883,bag boy beverage holder
Under Armour Men's Tech II T-Shirt,Lacrosse,20866.649801890002,2387.41000571,279,835,0.6,0.1144127125521491,0.0005672638336065246,under armour men's tech ii t-shirt
Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,20697.92999222,1818.6499727140001,70,207,0.5142857142857142,0.08786627326489169,0.0005626771535717593,merrell women's grassbow sport hiking shoe
Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,20597.93996418,714.429979709,68,206,0.5735294117647058,0.03468453549002473,0.0005599589056897607,nike men's free tr 5.0 tb training shoe
Team Golf New England Patriots Putter Grip,Accessories,20566.76981798,2548.580027902,281,823,0.5516014234875445,0.12391737012945833,0.000559111539351831,team golf new england patriots putter grip
Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,20450.69974701,2257.820003261,294,930,0.5627118644067797,0.11040306841290871,0.0005559561524521353,glove it women's mod oval 3-zip carry all gol
Nike Women's Legend V-Neck T-Shirt,Hockey,20025.0,2772.659994599,278,801,0.5734767025089605,0.1384599248239201,0.0005443834240675171,nike women's legend v-neck t-shirt
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,19567.940017240002,1564.749997683,70,206,0.6,0.07996498335054193,0.0005319581617244894,nike women's free 5.0 tr fit prt 4 training s
Nike Dri-FIT Crew Sock 6 Pack,Hockey,19426.0,2145.490002249,307,883,0.5032467532467533,0.11044425009003397,0.0005280994954274949,nike dri-fit crew sock 6 pack
TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,19298.06989294,2540.399962963,63,193,0.5396825396825397,0.13164010582697594,0.0005246216911966511,taylormade white smoke in-12 putter
Garmin Approach S3 Golf GPS Watch,Trade-In,19249.2304235,2432.329985971,75,77,0.6103896103896104,0.12635985608035236,0.0005232939809542847,garmin approach s3 golf gps watch
Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,19077.88003532,2606.850004549,66,212,0.48484848484848486,0.1366425409805904,0.0005186357881436616,brooks women's ghost 6 running shoe
Glove It Women's Imperial Golf Glove,Golf Balls,18810.58979375,2122.95000702,303,941,0.5244299674267101,0.11285930054810778,0.0005113694522172841,glove it women's imperial golf glove
Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,18690.64982615,2088.01993995,62,187,0.5161290322580645,0.11171467869611797,0.0005081088614435194,fitbit the one wireless activity & sleep trac
Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,18598.1399916,1976.8799784829998,62,186,0.6031746031746031,0.10629449930884882,0.0005055939640406607,nike kids' grade school kd vi basketball shoe
Elevation Training Mask 2.0,Soccer,18477.6899717,3299.569979985,74,231,0.5,0.17857048067364178,0.0005023195073983555,elevation training mask 2.0
The North Face Women's Recon Backpack,Hunting & Shooting,17919.0,2803.799964267,57,181,0.5087719298245614,0.15647078320592667,0.00048713141452513543,the north face women's recon backpack
Top Flite Women's 2014 XL Hybrid,Golf Apparel,17731.12981181,1830.399996078,303,887,0.5445544554455446,0.10323087222895652,0.0004820241278171663,top flite women's 2014 xl hybrid
Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,17638.04005408,3476.849971695,60,196,0.5333333333333333,0.19712224039828855,0.0004794934650926384,polar ft4 heart rate monitor
Bag Boy M330 Push Cart,Golf Gloves,16637.919929480002,2969.1100420919997,69,208,0.5507246376811594,0.17845440143218647,0.00045230500976636725,bag boy m330 push cart
Glove It Women's Mod Oval Golf Glove,Golf Balls,16031.97982176,2406.570003471,275,802,0.51985559566787,0.1501105933407297,0.0004358324129813258,glove it women's mod oval golf glove
Hirzl Women's Soffft Flex Golf Glove,Golf Balls,15993.10980566,1444.250001406,295,889,0.6140939597315436,0.0903045135658905,0.0004347757242193744,hirzl women's soffft flex golf glove
LIJA Women's Argyle Golf Polo,Golf Shoes,15600.0,1512.430022276,65,195,0.5,0.09695064245358975,0.00042408895957319676,lija women's argyle golf polo
Glove It Imperial Golf Towel,Trade-In,14870.69978864,1662.019999463,302,930,0.5463576158940397,0.11176474699143933,0.00040426279496728814,glove it imperial golf towel
Glove It Urban Brick Golf Towel,Trade-In,14151.14979326,1563.199996233,298,885,0.5466666666666666,0.11046452189895771,0.00038470169183257,glove it urban brick golf towel
Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,13999.649657,391.12998962999995,35,35,0.5428571428571428,0.02793855555052623,0.00038058313188630714,garmin forerunner 910xt gps watch
Pelican Maverick 100X Kayak,Water Sports,13999.599608,1070.5900172240001,40,40,0.625,0.07647290259731548,0.00038058177129474705,pelican maverick 100x kayak
Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,13649.3503575,955.099941796,65,65,0.5538461538461539,0.06997402197029802,0.0003710601789719369,cleveland golf collegiate my custom wedge 588
Titleist Small Wheeled Travel Cover,Golf Gloves,13499.460297,1011.650053917,54,54,0.6296296296296297,0.07494003698368742,0.00036698538924066716,titleist small wheeled travel cover
Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,13333.0,1241.66997336,67,67,0.6119402985074627,0.0931275761914048,0.0003624601344865021,mio alpha heart rate monitor/sport watch
Hirzl Women's Hybrid Golf Glove,Golf Balls,13311.11981353,1193.2400056870001,310,888,0.5305466237942122,0.08964234582834565,0.00036186531746628867,hirzl women's hybrid golf glove
Hirzl Men's Hybrid Golf Glove,Golf Balls,12951.35980753,1175.660006335,282,864,0.5390070921985816,0.090775024692887,0.0003520851734508664,hirzl men's hybrid golf glove
GoPro HERO3+ Black Edition Camera,Strength Training,12799.6796864,245.63005111699988,32,32,0.65625,0.019190327971877946,0.00034796172058176655,gopro hero3+ black edition camera
Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,12599.3703465,1080.649983628,62,63,0.49206349206349204,0.08577015786572188,0.00034251627317465213,nike men's kobe ix elite low basketball shoe
Sports Books ,Books ,12587.3999676,883.010007794,405,405,0.5654320987654321,0.07015030983895562,0.00034219085615328046,sports books
Baby sweater,Baby ,12229.56037881,1525.02999227,207,207,0.5265700483091788,0.12470031178818167,0.0003324629190440463,baby sweater
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,12096.0,1051.80000757,64,64,0.578125,0.0869543657051918,0.0003288320548075249,yakima doubledown ace hitch mount 4-bike rack
GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,11799.4103245,569.020010112,59,59,0.5084745762711864,0.04822444465131458,0.0003207692082111821,golfbuddy vt3 gps watch
TaylorMade 2014 Purelite Stand Bag,Golf Gloves,11699.3503575,730.180010745,65,65,0.5692307692307692,0.06241201335396456,0.00031804905902528736,taylormade 2014 purelite stand bag
MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,11598.549881160001,1533.140024694,53,145,0.5094339622641509,0.1321837678332825,0.0003153087789524981,mdgolf pittsburgh penguins putter
Total Gym 1400,Cleats,10799.639647200001,808.62000838,35,36,0.6388888888888888,0.07487472126809797,0.00029359025267605736,total gym 1400
Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,10799.639647200001,1208.9000123990002,34,36,0.5277777777777778,0.11193892128728841,0.00029359025267605736,garmin approach s4 golf gps watch
adidas Brazuca 2014 Official Match Ball,Baseball & Softball,10399.3503575,1642.729999124,65,65,0.5538461538461539,0.15796467497022687,0.0002827083123941876,adidas brazuca 2014 official match ball
Ogio Race Golf Shoes,Golf Bags & Carts,10369.3903355,1810.069992479,61,61,0.6885245901639344,0.17455895996914658,0.0002818938435122152,ogio race golf shoes
Titleist Club Glove Travel Cover,Golf Gloves,10199.6596668,1312.269990485,34,34,0.6176470588235294,0.12865821344573417,0.00027727968308294303,titleist club glove travel cover
SOLE E25 Elliptical,Basketball,9999.899902,-169.55999710000015,10,10,0.7,-0.016956169437864856,0.0002718491759791854,sole e25 elliptical
Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,9449.300385,1237.850002093,69,70,0.4714285714285714,0.1309991165121586,0.0002568810236518755,merrell women's siren mid waterproof hiking b
Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,9349.149821500001,1431.78001159,85,85,0.4823529411764706,0.1531454772815141,0.0002541584115829406,merrell men's all out flash trail running sho
insta-bed Neverflat Air Mattress,Hunting & Shooting,8999.40033,1036.619995346,59,60,0.5,0.11518767443763667,0.00024465040530335794,insta-bed neverflat air mattress
Stiga Master Series ST3100 Competition Indoor,Hockey,8909.7297354,479.28001602999996,25,27,0.5185185185185185,0.053792879275084186,0.00024221269317718975,stiga master series st3100 competition indoor
Clicgear 8.0 Shoe Brush,Golf Gloves,8871.119937156,815.54000439,284,888,0.5368421052631579,0.0919320232583232,0.0002411630784870212,clicgear 8.0 shoe brush
TaylorMade Women's RBZ SL Rescue,Golf Apparel,8839.320373999999,1295.299980905,68,68,0.4264705882352941,0.1465384131471237,0.00024029860132973206,taylormade women's rbz sl rescue
Diamondback Boys' Insight 24 Performance Hybr,Basketball,8699.709715800002,1730.8099975,28,29,0.6206896551724138,0.1989503160498085,0.0002365032591001573,diamondback boys' insight 24 performance hybr
Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,8399.7197256,284.42000305399995,27,28,0.42857142857142855,0.03386065396767552,0.00022834797430360012,diamondback girls' clarity 24 hybrid bike 201
Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,8399.299853,370.610005914,70,70,0.5,0.04412391656450129,0.00022833655998731248,cleveland golf women's 588 rtx cb satin chrom
LIJA Women's Button Golf Dress,Golf Shoes,8208.0,1156.600008518,76,76,0.5526315789473685,0.14091130708065303,0.00022313603719082046,lija women's button golf dress
Nike Men's Fingertrap Max Training Shoe,Soccer,7999.3598656,602.3799734620001,63,64,0.59375,0.07530352222962755,0.00021746411555473663,nike men's fingertrap max training shoe
Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,7539.420319,1029.709990869,58,58,0.43103448275862066,0.13657681191669876,0.00020496057172241856,merrell women's grassbow sport waterproof hik
Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,6599.8898922,-255.9500027199999,8,11,0.5454545454545454,-0.038780950425020166,0.00017941925882568948,bushnell pro x7 jolt slope rangefinder
Toys ,Toys,6104.65997884,900.710000356,529,529,0.5500945179584121,0.14754466317174833,0.00016595633967784546,toys
Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,5999.899901999999,1190.7799950200001,10,10,0.6,0.19846664352234727,0.00016310841711426313,bowflex selecttech 1090 dumbbells
Polar Loop Activity Tracker,Kids' Golf Clubs,5937.2998326,326.200001112,53,54,0.48148148148148145,0.05494079974215382,0.00016140662235137495,polar loop activity tracker
CDs of rock,CDs ,3059.5899891599997,383.849999637,271,271,0.5202952029520295,0.12545798652661455,8.31755343091944e-05,cds of rock
